#Name	Description

## Primitive numeric types

scijava.roi.types.Cube1	An aligned cuboid described by two points in 3D
scijava.roi.types.Cube2	An aligned cuboid described by a point and a vector
scijava.roi.types.Square1	An aligned cuboid described by two points in 3D
scijava.roi.types.Square2	An aligned cuboid described by a point and a vector

scijava.roi.types.Rectangle1	A rectangle in 2D described by two corner points and a vector
scijava.roi.types.Rectangle2	A rectangle in 2D described by a corner point and two vectors
scijava.roi.types.Cuboid1	A cuboid in 3D described by two adjacent corners and two vectors
scijava.roi.types.Cuboid2	A cuboid in 3D described by a corner and three vectors
scijava.roi.types.Circle0	A circle in 2D described by a centre point and circumference point
scijava.roi.types.Circle1	A circle in 2D described by a centre point and 1D radius
scijava.roi.types.Circle2	A circle in 2D described by a centre point and 2D radius
scijava.roi.types.Circle3	A circle in 2D described by a circumference point and vector to the centre point
scijava.roi.types.Circle4	A circle in 2D described by two circumference points [diameter]
scijava.roi.types.Circle5	A circle in 2D described by three circumference points
scijava.roi.types.Sphere0	A sphere in 3D described by a centre point and surface point
scijava.roi.types.Sphere1	A sphere in 3D described by a centre point and 1D radius
scijava.roi.types.Sphere2	A sphere in 3D described by a centre point and 2D radius
scijava.roi.types.Sphere3	A sphere in 3D described by a centre point and 3D radius
scijava.roi.types.Sphere4	A sphere in 3D described by a surface point and vector to the centre point
scijava.roi.types.Sphere5	A sphere in 3D described by a two surface points [diameter]
scijava.roi.types.Sphere6	A sphere in 3D described by a four surface points
scijava.roi.types.AlignedHalfAxes2D	An ellipse in 2D aligned with the axes described by two half axes
scijava.roi.types.HalfAxes2D	An ellipse in 2D described by two half axes
scijava.roi.types.AlignedHalfAxes3D	An ellipsoid in 3D aligned with the axes
scijava.roi.types.HalfAxes3D	An ellipsoid in 3D described by three half axes
# A basic circular cylinder with faces at right angles.
scijava.roi.types.CircularCylinder1	A circular cylinder in 3D described by the centres of both faces and a radius
# A basic circular cylinder with faces at right angles.
scijava.roi.types.CircularCylinder2	A circular cylinder in 3D described by the centre of one face, vector to second face and a radius
# Face angles other than right-angles let chains of cylinders be used
# for tubular structures without gaps at the joins.
scijava.roi.types.CircularCylinder3	A circular cylinder in 3D with faces at different angles described by the centres of both faces and vectors specifying the radius and angles of the faces
# Face angles other than right-angles let chains of cylinders be used
# for tubular structures without gaps at the joins.
scijava.roi.types.CircularCylinder4	A circular cylinder in 3D with faces at different angles described by the centre of one face, vector to second face and vectors specifying the radius and angles of the faces
# A basic elliptic cylinder with faces at right angles.
scijava.roi.types.EllipticCylinder1	An elliptic cylinder in 3D described by the centres both faces and half axes
# A basic elliptic cylinder with faces at right angles.
scijava.roi.types.EllipticCylinder2	An elliptic cylinder in 3D described by the centre of one face, vector to second face and half axes
# Face angles other than right-angles let chains of cylinders be used
# for tubular structures without gaps at the joins.
scijava.roi.types.EllipticCylinder3	An elliptic cylinder in 3D with faces at different angles described by the centres both faces and half axes and angles
# Face angles other than right-angles let chains of cylinders be used
# for tubular structures without gaps at the joins.
scijava.roi.types.EllipticCylinder4	An elliptic cylinder in 3D with faces at different angles described by the centre of one face, vector to second face and half axes and angles
scijava.roi.types.Arc12D	An arc in 2D described by a line (points) and vector
scijava.roi.types.Arc22D	An arc in 2D described by a line (vector) and a vector
scijava.roi.types.Arc32D	An arc in 2D described by three points; vector inferred from third point
scijava.roi.types.Arc13D	An arc in 3D described by a line (points) and vector
scijava.roi.types.Arc23D	An arc in 3D described by a line (vector) and a vector
scijava.roi.types.Arc33D	An arc in 3D described by three points; vector inferred from third point

# The mask is applied to the bounding line.  Dimensions specify the
# x size of the mask.  DATA is the mask pixel data.
scijava.roi.types.AlignedBitMask1D	A bitmask in 1D described by aligned bounding line, dimensions and mask data
# The mask is applied to the aligned bounding rectangle.  Dimensions specify the
# x and y size of the mask.  DATA is the mask pixel data.
scijava.roi.types.AlignedBitMask2D	A bitmask in 2D described by aligned bounding rectangle, dimensions and mask data
# The mask is applied to the aligned bounding cuboid.  Dimensions specify the
# x, y and z size of the mask.  DATA is the mask pixel data.
scijava.roi.types.AlignedBitMask3D	A bitmask in 3D described by aligned bounding cuboid, dimensions and mask data
# The mask is applied to the aligned bounding line.  Dimensions specify the
# x size of the mask.  DATA is the mask pixel data.
scijava.roi.types.AlignedGreyMask1D	A greymask in 1D described by aligned bounding line, dimensions and mask data
# The mask is applied to the aligned bounding rectangle.  Dimensions specify the
# x and y size of the mask.  DATA is the mask pixel data.
scijava.roi.types.AlignedGreyMask2D	A greymask in 2D described by aligned bounding rectangle, dimensions and mask data
# The mask is applied to the aligned bounding cuboid.  Dimensions specify the
# x, y and z size of the mask.  DATA is the mask pixel data.
scijava.roi.types.AlignedGreyMask3D	A greymask in 3D described by aligned bounding cuboid, dimensions and mask data


# The mask is applied to the bounding rectangle.  Dimensions specify the
# x and y size of the mask.  DATA is the mask pixel data.
scijava.roi.types.BitMask2D	A bitmask in 2D described by bounding rectangle, dimensions and mask data
# The mask is applied to the bounding cuboid.  Dimensions specify the
# x, y and z size of the mask.  DATA is the mask pixel data.
scijava.roi.types.BitMask3D	A bitmask in 3D described by bounding cuboid, dimensions and mask data
# The mask is applied to the bounding rectangle.  Dimensions specify the
# x and y size of the mask.  DATA is the mask pixel data.
scijava.roi.types.GreyMask2D	A greymask in 2D described by bounding rectangle, dimensions and mask data
# The mask is applied to the bounding cuboid.  Dimensions specify the
# x, y and z size of the mask.  DATA is the mask pixel data.
scijava.roi.types.GreyMask3D	A greymask in 3D described by bounding cuboid, dimensions and mask data
# Vertex references are indexes into the VERTS array.  Vertex-face
# mapping is implied, and will require the implementor to construct the
# mapping.
scijava.roi.types.Mesh2D	A face-vertex mesh in 2D described by face and vertex lists
# Vertex references are indexes into the VERTS array.  Vertex-face
# mapping is implied, and will require the implementor to construct the
# mapping.
scijava.roi.types.Mesh3D	A face-vertex mesh in 3D described by face and vertex lists
scijava.roi.types.Affine1D	An affine transform in 1D described by a transformation matrix and 1D shape to transform
scijava.roi.types.Affine2D	An affine transform in 2D described by a transformation matrix and 2D shape to transform
scijava.roi.types.Affine3D	An affine transform in 3D described by a transformation matrix and 3D shape to transform
scijava.roi.types.AffinenD	An affine transform in nD described by a transformation matrix and nD shape to transform
scijava.roi.types.TranslateTransform1D	A translation transformation in 1D
scijava.roi.types.TranslateTransform2D	A translation transformation in 2D
scijava.roi.types.TranslateTransform3D	A translation transformation in 3D
scijava.roi.types.ScaleTransform1D	A scaling transformation in 1D
scijava.roi.types.ScaleTransform2D	A scaling transformation in 2D
scijava.roi.types.ScaleTransform3D	A scaling transformation in 3D
scijava.roi.types.RotateTransform2D	A rotation transformation in 2D
scijava.roi.types.RotateTransform3D	A rotation transformation in 3D
scijava.roi.types.AbstractTransform1D	An abstract (implementation-defined) transform in 1D
scijava.roi.types.AbstractTransform2D	An abstract (implementation-defined) transform in 2D
scijava.roi.types.AbstractTransform3D	An abstract (implementation-defined) transform in 3D
scijava.roi.types.ValuenD	A single value
scijava.roi.types.ValuesnD	A set of values
scijava.roi.types.Range1nD	A range of values specified as the half-open range [V1, V2)
# Specified as all values for which the formula “n O1 V1” is true, e.g. “n ≤ 5”.
scijava.roi.types.Range2nD	A range of values specified as an inequality (or equality)
scijava.roi.types.Extrude	A shape extruded in an additional dimension
scijava.roi.types.ShapeSet	A set of shapes
scijava.roi.types.Bitwise1D	Binary bitwise operation
scijava.roi.types.Bitwise2D	Binary bitwise operation
scijava.roi.types.Bitwise3D	Binary bitwise operation

scijava.roi.types.ROI	A region of interest (top-level container of physical shape and nD constraints)
scijava.roi.types.ROISet	A set of ROIs

scijava.roi.types.DimConstraint	A dimensional constraint
scijava.roi.types.DimConstraintSet	A set of dimensional constraints

scijava.roi.types.Custom	Custom (user-definable) representation

# We could use an RShape representation here so that we could set a shape as a property.

scijava.roi.types.Properties	Property list

### Shapes

#Shape	Description

## 3D geometric forms with no intrinsic volume

scijava.roi.shape.Point	A single point
scijava.roi.shape.Points	A set of points
scijava.roi.shape.Line	A single line
scijava.roi.shape.Lines	A set of lines
scijava.roi.shape.Polyline	A set of connected points (open)
scijava.roi.shape.Polygon	A set of connected points (closed)
scijava.roi.shape.PolylineSpline	A set of connected splines (open)
scijava.roi.shape.PolygonSpline	A set of connected splines (closed)
scijava.roi.shape.Arc	An arc

## 3D geometric forms with intrinsic volume

scijava.roi.shape.Cuboid	A cuboid
scijava.roi.shape.Ellipsoid	An ellipsoid
scijava.roi.shape.Cylinder	An elliptic cylinder
scijava.roi.shape.Mesh	A mesh

## 3D pixel data

# A bitmask may be aligned with the axes (with an aligned bounding
# box) or unaligned (with an unaligned bounding box).  In order to
# iterate over the mask with a 1:1 correspondence between mask and
# underlying image pixel data, it must be converted to an aligned
# form.  Additionally, it must be converted to an aligned form with
# the samples aligned with the pixel grid.

scijava.roi.shape.BitMask	A mask with one bit values

# A greymask may be aligned with the axes (with an aligned bounding
# box) or unaligned (with an unaligned bounding box).  In order to
# iterate over the mask with a 1:1 correspondence between mask and
# underlying image pixel data, it must be converted to an aligned
# form.  Additionally, it must be converted to an aligned form with
# the samples aligned with the pixel grid.

scijava.roi.shape.GreyMask	A mask with multiple grey levels

## 3D transformations and operations

scijava.roi.shape.AffineTransform	Affine transformation of a shape
scijava.roi.shape.AbstractTransform	Abstract (implementation-defined) transformation of a shape
scijava.roi.shape.Bitwise	Binary bitwise operation

## Grouping

# All operations operate individually upon the contained shapes.  This
# implies that transforms are performed upon each shape, with rotation
# centres in the centre of each shape.
scijava.roi.shape.Set	A set of shapes

## Annotations

# Text in 3D will need to be based upon a rectangle in 3D (not yet
# possible without a transform).  Should label alignment be specified
# directly in the representation, or in higher-level metadata?
scijava.roi.annotation.Text	Text (label)
scijava.roi.annotation.Scale	A scale bar between two points
# TODO: Specify grid spacing
scijava.roi.annotation.Grid	A scale grid in a defined volume

## Custom (user-definable) shapes

# The custom shape type, unlike other shapes, does not define any
# intrinsic behaviour.  This is entirely the responsibility of the
# user.  The typename of the shape is specified by the user, which
# provides an extension mechanism by allowing this type to be used to
# specify an arbitrary number of shape types.
#
# The shape contains four sets of shapes for measurement, results,
# editing and visualisation.  The intent here is that the shapes
# required for the user to visualise the ROI are contained in the
# VISUAL set.  This will permit the ROI to be transported to other
# systems, and allow visualisation without any knowledge of the
# specific ROI type.  The other types are optional, and may be used as
# the user sees fit.  MEASUREMENTS is intended to store any points or
# other informations used when defining the ROI (which are not already
# contained in the VISUAL set).  RESULTS is intended to store any
# measurements which are not directly derivable from the other sets.
# EDIT is intended for storing label offsets, construction lines, and
# any other information used for editing which is not contained in
# the MEASUREMENTS or VISUAL sets.

scijava.roi.shape.Custom	A custom (user-definable) 3D shape

scijava.roi.object.Property	A custom (user-definable) object property

### nD

## Dimensional constraints
# Constrain region to a single value within a specific dimension.
scijava.roi.dimconstraint.Value	A value in an arbitrary dimension
# Constrain region to multiple values within a specific dimension.
scijava.roi.dimconstraint.Values	A set of values in an arbitrary dimension
# Constrain region to a range of values within a specific dimension.
scijava.roi.dimconstraint.Range	A range of values in an arbitrary dimension
# There are no limits in the additional dimension; these must be set
# by combining with a range instead.

## nD transformations and shape operations

scijava.roi.dimconstraint.ExtrudeDim	Extrude a shape of arbitrary dimensionality into an additional dimension.
# The result is a shape combining all subset dimensions.
# It is illegal to have a common dimension between the two shapes.
scijava.roi.dimconstraint.DimConstraintSet	Combine shapes of differing dimensionality
