#Shape	ShapeDim	Representation	RepDim	In	Out	Canonical	Details
Cuboid	3D	RRectangle1	2D	true	true	true	First corner, adjacent corner and distance to corner opposing P1 (relative to P2)
Cuboid	3D	RRectangle2	2D	true	true	false	First corner, distance to adjacent corner (relative to P1), distance to corner opposing P1 (relative to P2)
Cuboid	3D	RAlignedCuboid1	3D	true	true	true	First corner and opposing corner
Cuboid	3D	RAlignedCuboid2	3D	true	true	false	First corner and opposing corner (relative to P1)
Cuboid	3D	RCuboid1	3D	true	true	true	
Cuboid	3D	RCuboid2	3D	true	true	false	
Ellipsoid	3D	RSphere0	3D	true	true	false	
Ellipsoid	3D	RSphere1	3D	true	true	false	
Ellipsoid	3D	RSphere2	3D	true	true	false	
Ellipsoid	3D	RSphere3	3D	true	true	false	
Ellipsoid	3D	RSphere4	3D	true	true	false	
Ellipsoid	3D	RSphere5	3D	true	true	false	
Ellipsoid	3D	RSphere6	3D	true	true	false	
Ellipsoid	3D	RAlignedHalfAxes	3D	true	true	true	
Ellipsoid	3D	RHalfAxes	3D	true	true	true	
Ellipsoid	3D	REllipsoidCovariance	3D	true	true	false	
PolylineSpline	3D	RPolylinePoints	2D	true	true	true	
PolylineSpline	3D	RPolylineVector	2D	true	true	true	
PolylineSpline	3D	RPolylinePoints	3D	true	true	true	
PolylineSpline	3D	RPolylineVector	3D	true	true	true	
PolygonSpline	3D	RPolylinePoints	2D	true	true	true	
PolygonSpline	3D	RPolylineVector	2D	true	true	true	
PolygonSpline	3D	RPolylinePoints	3D	true	true	true	
PolygonSpline	3D	RPolylineVector	3D	true	true	true	
#AlignedCircularCylinder	3D	TODO	3D	true	TODO	false	
#AlignedEllipticCylinder	3D	TODO	3D	true	TODO	false	
Cylinder	3D	RCircle0	2D	true	true	false	
Cylinder	3D	RCircle1	2D	true	true	true	
Cylinder	3D	RCircle2	2D	true	true	false	
Cylinder	3D	RCircle3	2D	true	true	false	
Cylinder	3D	RCircle4	2D	true	true	false	
Cylinder	3D	RCircle5	2D	true	true	false	
Cylinder	3D	RAlignedHalfAxes	2D	true	true	true	
Cylinder	3D	RHalfAxes	2D	true	true	true	
Cylinder	3D	REllipseCovariance	2D	true	true	false	Mahalanbobis distance used to draw an ellipse using the mean coordinates (P1) and 2 × 2 covariance matrix (COV1)
Cylinder	3D	RCircularCylinder1	3D	true	true	true	
Cylinder	3D	RCircularCylinder2	3D	true	true	false	
Cylinder	3D	RCircularCylinder3	3D	true	true	false	
Cylinder	3D	RCircularCylinder4	3D	true	true	false	
Cylinder	3D	REllipticCylinder1	3D	true	true	true	
Cylinder	3D	REllipticCylinder2	3D	true	true	false	
Cylinder	3D	REllipticCylinder3	3D	true	true	false	
Cylinder	3D	REllipticCylinder4	3D	true	true	false	
Arc	3D	RArc1	2D	true	true	true	
Arc	3D	RArc2	2D	true	true	false	
Arc	3D	RArc3	2D	true	true	false	
Arc	3D	RArc1	3D	true	true	true	
Arc	3D	RArc2	3D	true	true	false	
Arc	3D	RArc3	3D	true	true	false	
GreyMask	3D	RGreyMask	1D	true	true	true	
BitMask	3D	RBitMask	1D	true	true	true	
GreyMask	3D	RGreyMask	2D	true	true	true	
BitMask	3D	RBitMask	2D	true	true	true	
GreyMask	3D	RGreyMask	3D	true	true	true	
BitMask	3D	RBitMask	3D	true	true	true	
Mesh	3D	RMesh	2D	true	true	true	
Mesh	3D	RMesh	3D	true	true	true	
AffineTransform	3D	RAffineTransform	1D	true	true	true	
AffineTransform	3D	RTranslateTransform	1D	true	false	false	
AffineTransform	3D	RScaleTransform	1D	true	false	false	
AffineTransform	3D	RAffineTransform	2D	true	true	true	
AffineTransform	3D	RTranslateTransform	2D	true	false	false	
AffineTransform	3D	RScaleTransform	2D	true	false	false	
AffineTransform	3D	RRotateTransform	2D	true	false	false	
AffineTransform	3D	RAffineTransform	3D	true	true	true	
AffineTransform	3D	RTranslateTransform	3D	true	false	false	
AffineTransform	3D	RScaleTransform	3D	true	false	false	
AffineTransform	3D	RRotateTransform	3D	true	false	false	
AbstractTransform	3D	RAbstractTransform	1D	true	true	true	
AbstractTransform	3D	RAbstractTransform	2D	true	true	true	
AbstractTransform	3D	RAbstractTransform	3D	true	true	true	
Text	3D	RText	2D	true	true	true	
Value	nD	RValue	nD	true	true	true	
Values	nD	RValues	nD	true	true	true	
Range	nD	RRange1	nD	true	true	true	
Range	nD	RRange2	nD	true	true	true	
Extrude	nD	RExtrude	nD	true	true	true	
Combine	nD	RSet	nD	true	true	true	
Set	nD	RSet	nD	true	true	true	
Group	nD	RSet	nD	true	true	true	
Bitwise	3D	RBitwise	1D	true	true	true	
Bitwise	3D	RBitwise	2D	true	true	true	
Bitwise	3D	RBitwise	3D	true	true	true	
