#Representation	Dims	SeqNo	Name	Type	Description
REllipsoidCovariance	3D	0	P1	Vertex3D	Centre point (mean)
REllipsoidCovariance	3D	1	COV1	double[3][3]	3 × 3 covariance matrix
RCircularCylinder1	3D	0	P1	Vertex3D	Centre of first face
RCircularCylinder1	3D	1	P2	Vertex3D	Centre of second face
RCircularCylinder1	3D	2	V1	Vector1D	Radius
RCircularCylinder2	3D	0	P1	Vertex3D	Centre of first face
RCircularCylinder2	3D	1	V1	Vector3D	Distance to centre of second face
RCircularCylinder2	3D	2	V2	Vector1D	Radius
RCircularCylinder3	3D	0	P1	Vertex3D	Centre of first face
RCircularCylinder3	3D	1	P2	Vertex3D	Centre of second face
RCircularCylinder3	3D	2	V1	Vector3D	Radius and angle of first face
# Should V2 only allow angle, assuming radius from V1, or also allow a
# second radius to represent a conical section?
RCircularCylinder3	3D	3	V2	Vector3D	Angle of second face
RCircularCylinder4	3D	0	P1	Vertex3D	Centre of first face
RCircularCylinder4	3D	1	V1	Vector3D	Distance to centre of second face
RCircularCylinder4	3D	2	V2	Vector3D	Radius and angle of first face
# Should V3 only allow angle, assuming radius from V2, or also allow a
# second radius to represent a conical section?
RCircularCylinder4	3D	3	V3	Vector3D	Angle of second face
REllipticCylinder1	3D	0	P1	Vertex3D	Centre of first face
REllipticCylinder1	3D	1	P2	Vertex3D	Centre of second face
REllipticCylinder1	3D	2	V1	Vector2D	Half axes (xy)
# Is the dimensionality of the half axes correct here?
REllipticCylinder1	3D	3	V2	Vector1D	Half axes (x)
REllipticCylinder2	3D	0	P1	Vertex3D	Centre of first face
REllipticCylinder2	3D	1	V1	Vector3D	Distance to second face
REllipticCylinder2	3D	2	V2	Vector3D	Half axes (xy)
# Is the dimensionality of the half axes correct here?
REllipticCylinder2	3D	3	V3	Vector2D	Half axes (x)
REllipticCylinder3	3D	0	P1	Vertex3D	Centre of first face
REllipticCylinder3	3D	1	P2	Vertex3D	Centre of second face
# Should half axes and angle be specified in same vector or separately?
REllipticCylinder3	3D	2	V1	Vector3D	Half axes of first face (xyz)
REllipticCylinder3	3D	3	V2	Vector2D	Half axes of first face (xy)
REllipticCylinder3	3D	4	V3	Vector3D	Angle of second face
REllipticCylinder4	3D	0	P1	Vertex3D	Centre of first face
REllipticCylinder4	3D	1	V1	Vector3D	Distance to second face
REllipticCylinder4	3D	2	V2	Vector3D	Half axes (xyz)
REllipticCylinder4	3D	3	V3	Vector2D	Half axes (xy)
REllipticCylinder4	3D	4	V4	Vector3D	Angle of second face
RArc1	2D	0	P1	RLinePoints2D	Centre point and arc start
RArc1	2D	1	V1	Vector2D	Arc end
RArc2	2D	0	P1	RLineVector2D	Centre point and arc start
RArc2	2D	1	V1	Vector2D	Arc end
RArc3	2D	0	P1	Vertex2D[3]	Centre point, arc start and arc end (vector inferred)
RArc1	3D	0	P1	RLinePoints3D	Centre point and arc start
RArc1	3D	1	V1	Vector3D	Arc end
RArc2	3D	0	P1	RLineVector3D	Centre point and arc start
RArc2	3D	1	V1	Vector3D	Arc end
RArc3	3D	0	P1	Vertex3D[3]	Centre point, arc start and arc end (vector inferred)
RAlignedBitMask	1D	0	B1	RLinePoints1D	Bounding line
RAlignedBitMask	1D	1	DIM1	Vector1D	Mask dimensions (x)
RAlignedBitMask	1D	2	DATA	bool[x]	Mask data
RAlignedBitMask	2D	0	B1	RLinePoints2D	Bounding box
RAlignedBitMask	2D	1	DIM1	Vector2D	Mask dimensions (x,y)
RAlignedBitMask	2D	2	DATA	bool[x,y]	Mask data
RAlignedBitMask	3D	0	B1	RLinePoints3D	Bounding box
RAlignedBitMask	3D	1	DIM1	Vector3D	Mask dimensions (x,y,z)
RAlignedBitMask	3D	2	DATA	bool[x,y,z]	Mask data
RAlignedGreyMask	1D	0	B1	RLinePoints1D	Bounding line
RAlignedGreyMask	1D	1	DIM1	Vector1D	Mask dimensions (x)
RAlignedGreyMask	1D	2	DATA	double[x]	Mask data
RAlignedGreyMask	2D	0	B1	RLinePoints2D	Bounding box
RAlignedGreyMask	2D	1	DIM1	Vector2D	Mask dimensions (x,y)
RAlignedGreyMask	2D	2	DATA	double[x,y]	Mask data
RAlignedGreyMask	3D	0	B1	RLinePoints3D	Bounding box
RAlignedGreyMask	3D	1	DIM1	Vector3D	Mask dimensions (x,y,z)
RAlignedGreyMask	3D	2	DATA	double[x,y,z]	Mask data
RBitMask	2D	0	B1	RRectangle2	Bounding box
RBitMask	2D	1	DIM1	Vector2D	Mask dimensions (x,y)
RBitMask	2D	2	DATA	bool[x,y]	Mask data
RBitMask	3D	0	B1	RCuboid2	Bounding box
RBitMask	3D	1	DIM1	Vector3D	Mask dimensions (x,y,z)
RBitMask	3D	2	DATA	bool[x,y,z]	Mask data
RGreyMask	2D	0	B1	RRectangle2	Bounding box
RGreyMask	2D	1	DIM1	Vector2D	Mask dimensions (x,y)
RGreyMask	2D	2	DATA	double[x,y]	Mask data
RGreyMask	3D	0	B1	RCuboid2	Bounding box
RGreyMask	3D	1	DIM1	Vector3D	Mask dimensions (x,y,z)
RGreyMask	3D	2	DATA	double[x,y,z]	Mask data
RMesh	2D	0	NFACE	Count	Number of faces
RMesh	2D	1	VREF	double[NFACE][3]	Vertex references per face, counterclockwise winding
RMesh	2D	2	NVERT	Count	Number of vertices
RMesh	2D	3	VERTS	Vertex2D[NVERT]	Vertex coordinates
RMesh	3D	0	NFACE	Count	Number of faces
RMesh	3D	1	VREF	double[NFACE][3]	Vertex references per face, counterclockwise winding
RMesh	3D	2	NVERT	Count	Number of vertices
RMesh	3D	3	VERTS	Vertex3D[NVERT]	Vertex coordinates
# TODO: Specify dimensions for transform?  Or have variants for different combinations?
RAffineTransform	1D	0	TRANS	Affine1D	Transform
RAffineTransform	1D	1	SHAPE	Shape	Shape
RAffineTransform	2D	0	TRANS	Affine2D	Transform
RAffineTransform	2D	1	SHAPE	Shape	Shape
RAffineTransform	3D	0	TRANS	Affine3D	Transform
RAffineTransform	3D	1	SHAPE	Shape	Shape
RTranslateTransform	1D	0	TR1	Vector1D	Translation in x
RTranslateTransform	1D	1	SHAPE	Shape1D	Shape
RTranslateTransform	2D	0	TR1	Vector2D	Translation in x,y
RTranslateTransform	2D	1	SHAPE	Shape1D	Shape
RTranslateTransform	3D	0	TR1	Vector3D	Translation in x,y,z
RTranslateTransform	3D	1	SHAPE	Shape1D	Shape
RScaleTransform	1D	0	SF1	double[1]	Scale factor for x
RScaleTransform	1D	1	SHAPE	Shape1D	Shape
RScaleTransform	2D	0	SF1	double[2]	Scale factor for x,y
RScaleTransform	2D	1	SHAPE	Shape1D	Shape
RScaleTransform	3D	0	SF1	double[3]	Scale factor for x,y,z
RScaleTransform	3D	1	SHAPE	Shape	Shape
RRotateTransform	2D	0	RA	double[1]	Rotation angle in z
RRotateTransform	2D	1	SHAPE	Shape	Shape
RRotateTransform	3D	0	RA	double[3]	Rotation angle in x,y,z
RRotateTransform	3D	1	SHAPE	Shape	Shape
RAbstractTransform	1D	0	NAME	String	Name of transformation
RAbstractTransform	1D	1	ARGS	String	Arguments
RAbstractTransform	1D	2	SHAPE	Shape	Shape
RAbstractTransform	2D	0	NAME	String	Name of transformation
RAbstractTransform	2D	1	ARGS	String	Arguments
RAbstractTransform	2D	2	SHAPE	Shape	Shape
RAbstractTransform	3D	0	NAME	String	Name of transformation
RAbstractTransform	3D	1	ARGS	String	Arguments
RAbstractTransform	3D	2	SHAPE	Shape	Shape
RText	2D	0	B1	RRectangle2	Text bounds
# Or, should the text be specified externally, e.g. as ROI label text?
RText	2D	1	TEXT	String	Text
RValue	nD	0	D1	Index	Dimension
RValue	nD	1	V1	Index	Value within dimension
RValues	nD	0	D1	Index	Dimension
RValues	nD	1	NVAL	Count	Number of values
RValues	nD	2	V1	Index[NVAL]	Values within dimension
RRange1	nD	0	D1	Index	Dimension
RRange1	nD	1	V1	Index	Starting value within dimension
RRange1	nD	2	V2	Index	Ending value +1 within dimension
RRange2	nD	0	D1	Index	Dimension
RRange2	nD	1	O1	Operator	Mathematical operator
RRange2	nD	2	V1	Value	Value for operation
RExtrude	nD	0	D1	Index	Dimension
RExtrude	nD	1	SHAPE	Shape	Shape

RSet	nD	0	NSHAPES	Count	Number of shapes
RSet	nD	1	SHAPES	Shape[NSHAPES]	List of shapes

RBitwise	1D	0	O1	BLogic	Bitwise logic operator
RBitwise	1D	1	M1	RBitMask1D	Mask 1
RBitwise	1D	2	M2	RBitMask1D	Mask 2
RBitwise	2D	0	O1	BLogic	Bitwise logic operator
RBitwise	2D	1	M1	RBitMask2D	Mask 1
RBitwise	2D	2	M2	RBitMask2D	Mask 2
RBitwise	3D	0	O1	BLogic	Bitwise logic operator
RBitwise	3D	1	M1	RBitMask3D	Mask 1
RBitwise	3D	2	M2	RBitMask3D	Mask 2
RCustom	3D	0	TYPE	String	Name of the custom type
RCustom	3D	1	MEASUREMENTS	RSet	Set of shapes describing how the ROI was measured
RCustom	3D	2	RESULTS	RSet	Set of shapes for describing measurement results
RCustom	3D	3	EDIT	RSet	Set of shapes describing how to edit the ROI
RCustom	3D	4	VISUAL	RSet	Set of shapes describing how to visualise (render) the ROI for visualisation
