#Primitive	SeqNo	Name	Type	Description
RPolylineVector3D	0	P1	Vertex3D	First point
RPolylineVector3D	1	V1	RVectors3D	Array of vectors
RAlignedSquare12D	0	P1	Vertex2D	First corner
RAlignedSquare12D	1	P2	Vertex1D	x coordinate of adjacent/opposing corner
RAlignedSquare22D	0	P1	Vertex2D	First corner
RAlignedSquare22D	1	P2	Vector1D	distance to adjacent corner on x axis (relative to P1)

RCube13D	0	P1	RLinePoints3D	Corner and adjacent corner
RCube23D	0	P1	RLineVector3D	Corner and vector to adjacent corner
RAlignedCuboid13D	0	P1	RLinePoints3D	Corner and opposing corner
RAlignedCuboid23D	0	P1	RLineVector3D	Corner and vector to opposing corner
RAlignedRectangle12D	0	P1	RLinePoints2D	Corner and opposing corner
RAlignedRectangle22D	0	P1	RLineVector2D	Corner and vector to opposing corner
RSquare12D	0	P1	RLinePoints2D	Corner and opposing corner
RSquare22D	0	P1	RLineVector2D	Corner and vector to opposing corner

RAlignedCube13D	0	P1	Vertex3D	First corner
RAlignedCube13D	1	P2	Vertex1D	x coordinate of adjacent/opposing corner
RAlignedCube23D	0	P1	Vertex3D	First corner
RAlignedCube23D	1	P2	Vector1D	distance to adjacent corner on x axis (relative to P1)
RRectangle12D	0	P1	Vertex2D	First corner
RRectangle12D	1	P2	Vertex2D	Adjacent corner
RRectangle12D	2	V1	Vector1D	Distance to corner opposing P1 (relative to P2)
RRectangle22D	0	P1	Vertex2D	First corner
RRectangle22D	1	V1	Vector2D	Distance to adjacent corner (relative to P1)
RRectangle22D	2	V2	Vector1D	Distance to corner opposing P1 (relative to P2)
RCuboid13D	0	P1	Vertex3D	First corner
RCuboid13D	1	P2	Vertex3D	Second corner (adjacent to P1)
RCuboid13D	2	V1	Vector2D	Distance to third corner (adjacent to P2)
RCuboid13D	3	V2	Vector1D	Distance to fourth corner (opposing P1, adjacent to V1)
RCuboid23D	0	P1	Vertex3D	First corner
RCuboid23D	1	V1	Vector3D	Distance to second corner (relative to P1)
RCuboid23D	2	V2	Vector2D	Distance to third corner (relative to V1)
RCuboid23D	3	V3	Vector1D	Distance to fourth corner (relative to V2, opposing P1)
RCircle02D	0	P1	Vertex2D	Centre point
RCircle02D	1	P2	Vertex2D	Circumference point
RCircle12D	0	P1	Vertex2D	Centre point
RCircle12D	1	V1	Vector1D	Radius
RCircle22D	0	P1	Vertex2D	Centre point
RCircle22D	1	V1	Vector2D	Radius
RCircle32D	0	P1	Vertex2D	Point on circumference
RCircle32D	1	V1	Vector2D	Vector to centre
RCircle42D	0	P1	Vertex2D[2]	Two points on circumference
RCircle52D	0	P1	Vertex2D[3]	Three points on circumference
RSphere03D	0	P1	Vertex3D	Centre point
RSphere03D	1	P2	Vertex3D	Surface point
RSphere13D	0	P1	Vertex3D	Centre point
RSphere13D	1	V1	Vector1D	Radius
RSphere23D	0	P1	Vertex3D	Centre point
RSphere23D	1	V1	Vector2D	Radius
RSphere33D	0	P1	Vertex3D	Centre point
RSphere33D	1	V1	Vector3D	Radius
RSphere43D	0	P1	Vertex3D	Point on surface
RSphere43D	1	V1	Vector3D	Vector to centre
RSphere53D	0	P1	Vertex3D[2]	Two points on surface
RSphere63D	0	P1	Vertex3D[4]	Four points on surface
RAlignedHalfAxes2D	0	P1	Vertex2D	Centre point
RAlignedHalfAxes2D	1	V1	Vector2D	Half axes (x,y)
RHalfAxes2D	0	P1	Vertex2D	Centre point
RHalfAxes2D	1	V1	Vector2D	Half axes (xy)
# Is the dimensionality of the half axes correct here?
RHalfAxes2D	2	V2	Vector1D	Half axes (x)
REllipseCovariance2D	0	P1	Vertex2D	Centre point (mean)
REllipseCovariance2D	1	COV1	double[2][2]	2 × 2 covariance matrix
RAlignedHalfAxes3D	0	P1	Vertex3D	Centre point
RAlignedHalfAxes3D	1	V1	Vector3D	Half axes (x,y,z)
RHalfAxes3D	0	P1	Vertex3D	Centre point
RHalfAxes3D	1	V1	Vector3D	Half axes (xyz)
# Is the dimensionality of the half axes correct here?
RHalfAxes3D	2	V2	Vector2D	Half axes (xy)
# Is the dimensionality of the half axes correct here?
RHalfAxes3D	3	V3	Vector1D	Half axes (x)
REllipsoidCovariance3D	0	P1	Vertex3D	Centre point (mean)
REllipsoidCovariance3D	1	COV1	double[3][3]	3 × 3 covariance matrix
RCircularCylinder13D	0	P1	Vertex3D	Centre of first face
RCircularCylinder13D	1	P2	Vertex3D	Centre of second face
RCircularCylinder13D	2	V1	Vector1D	Radius
RCircularCylinder23D	0	P1	Vertex3D	Centre of first face
RCircularCylinder23D	1	V1	Vector3D	Distance to centre of second face
RCircularCylinder23D	2	V2	Vector1D	Radius
RCircularCylinder33D	0	P1	Vertex3D	Centre of first face
RCircularCylinder33D	1	P2	Vertex3D	Centre of second face
RCircularCylinder33D	2	V1	Vector3D	Radius and angle of first face
# Should V2 only allow angle, assuming radius from V1, or also allow a
# second radius to represent a conical section?
RCircularCylinder33D	3	V2	Vector3D	Angle of second face
RCircularCylinder43D	0	P1	Vertex3D	Centre of first face
RCircularCylinder43D	1	V1	Vector3D	Distance to centre of second face
RCircularCylinder43D	2	V2	Vector3D	Radius and angle of first face
# Should V3 only allow angle, assuming radius from V2, or also allow a
# second radius to represent a conical section?
RCircularCylinder43D	3	V3	Vector3D	Angle of second face
REllipticCylinder13D	0	P1	Vertex3D	Centre of first face
REllipticCylinder13D	1	P2	Vertex3D	Centre of second face
REllipticCylinder13D	2	V1	Vector2D	Half axes (xy)
# Is the dimensionality of the half axes correct here?
REllipticCylinder13D	3	V2	Vector1D	Half axes (x)
REllipticCylinder23D	0	P1	Vertex3D	Centre of first face
REllipticCylinder23D	1	V1	Vector3D	Distance to second face
REllipticCylinder23D	2	V2	Vector3D	Half axes (xy)
# Is the dimensionality of the half axes correct here?
REllipticCylinder23D	3	V3	Vector2D	Half axes (x)
REllipticCylinder33D	0	P1	Vertex3D	Centre of first face
REllipticCylinder33D	1	P2	Vertex3D	Centre of second face
# Should half axes and angle be specified in same vector or separately?
REllipticCylinder33D	2	V1	Vector3D	Half axes of first face (xyz)
REllipticCylinder33D	3	V2	Vector2D	Half axes of first face (xy)
REllipticCylinder33D	4	V3	Vector3D	Angle of second face
REllipticCylinder43D	0	P1	Vertex3D	Centre of first face
REllipticCylinder43D	1	V1	Vector3D	Distance to second face
REllipticCylinder43D	2	V2	Vector3D	Half axes (xyz)
REllipticCylinder43D	3	V3	Vector2D	Half axes (xy)
REllipticCylinder43D	4	V4	Vector3D	Angle of second face
RArc12D	0	P1	RLinePoints2D	Centre point and arc start
RArc12D	1	V1	Vector2D	Arc end
RArc22D	0	P1	RLineVector2D	Centre point and arc start
RArc22D	1	V1	Vector2D	Arc end
RArc32D	0	P1	Vertex2D[3]	Centre point, arc start and arc end (vector inferred)
RArc13D	0	P1	RLinePoints3D	Centre point and arc start
RArc13D	1	V1	Vector3D	Arc end
RArc23D	0	P1	RLineVector3D	Centre point and arc start
RArc23D	1	V1	Vector3D	Arc end
RArc33D	0	P1	Vertex3D[3]	Centre point, arc start and arc end (vector inferred)
RAlignedBitMask1D	0	B1	RLinePoints1D	Bounding line
RAlignedBitMask1D	1	DIM1	Vector1D	Mask dimensions (x)
RAlignedBitMask1D	2	DATA	bool[x]	Mask data
RAlignedBitMask2D	0	B1	RLinePoints2D	Bounding box
RAlignedBitMask2D	1	DIM1	Vector2D	Mask dimensions (x,y)
RAlignedBitMask2D	2	DATA	bool[x,y]	Mask data
RAlignedBitMask3D	0	B1	RLinePoints3D	Bounding box
RAlignedBitMask3D	1	DIM1	Vector3D	Mask dimensions (x,y,z)
RAlignedBitMask3D	2	DATA	bool[x,y,z]	Mask data
RAlignedGreyMask1D	0	B1	RLinePoints1D	Bounding line
RAlignedGreyMask1D	1	DIM1	Vector1D	Mask dimensions (x)
RAlignedGreyMask1D	2	DATA	double[x]	Mask data
RAlignedGreyMask2D	0	B1	RLinePoints2D	Bounding box
RAlignedGreyMask2D	1	DIM1	Vector2D	Mask dimensions (x,y)
RAlignedGreyMask2D	2	DATA	double[x,y]	Mask data
RAlignedGreyMask3D	0	B1	RLinePoints3D	Bounding box
RAlignedGreyMask3D	1	DIM1	Vector3D	Mask dimensions (x,y,z)
RAlignedGreyMask3D	2	DATA	double[x,y,z]	Mask data
RBitMask2D	0	B1	RRectangle2	Bounding box
RBitMask2D	1	DIM1	Vector2D	Mask dimensions (x,y)
RBitMask2D	2	DATA	bool[x,y]	Mask data
RBitMask3D	0	B1	RCuboid2	Bounding box
RBitMask3D	1	DIM1	Vector3D	Mask dimensions (x,y,z)
RBitMask3D	2	DATA	bool[x,y,z]	Mask data
RGreyMask2D	0	B1	RRectangle2	Bounding box
RGreyMask2D	1	DIM1	Vector2D	Mask dimensions (x,y)
RGreyMask2D	2	DATA	double[x,y]	Mask data
RGreyMask3D	0	B1	RCuboid2	Bounding box
RGreyMask3D	1	DIM1	Vector3D	Mask dimensions (x,y,z)
RGreyMask3D	2	DATA	double[x,y,z]	Mask data
RMesh2D	0	NFACE	Count	Number of faces
RMesh2D	1	VREF	double[NFACE][3]	Vertex references per face, counterclockwise winding
RMesh2D	2	NVERT	Count	Number of vertices
RMesh2D	3	VERTS	Vertex2D[NVERT]	Vertex coordinates
RMesh3D	0	NFACE	Count	Number of faces
RMesh3D	1	VREF	double[NFACE][3]	Vertex references per face, counterclockwise winding
RMesh3D	2	NVERT	Count	Number of vertices
RMesh3D	3	VERTS	Vertex3D[NVERT]	Vertex coordinates
# TODO: Specify dimensions for transform?  Or have variants for different combinations?
RAffineTransform1D	0	TRANS	Affine1D	Transform
RAffineTransform1D	1	SHAPE	Shape	Shape
RAffineTransform2D	0	TRANS	Affine2D	Transform
RAffineTransform2D	1	SHAPE	Shape	Shape
RAffineTransform3D	0	TRANS	Affine3D	Transform
RAffineTransform3D	1	SHAPE	Shape	Shape
RTranslateTransform1D	0	TR1	Vector1D	Translation in x
RTranslateTransform1D	1	SHAPE	Shape1D	Shape
RTranslateTransform2D	0	TR1	Vector2D	Translation in x,y
RTranslateTransform2D	1	SHAPE	Shape1D	Shape
RTranslateTransform3D	0	TR1	Vector3D	Translation in x,y,z
RTranslateTransform3D	1	SHAPE	Shape1D	Shape
RScaleTransform1D	0	SF1	double[1]	Scale factor for x
RScaleTransform1D	1	SHAPE	Shape1D	Shape
RScaleTransform2D	0	SF1	double[2]	Scale factor for x,y
RScaleTransform2D	1	SHAPE	Shape1D	Shape
RScaleTransform3D	0	SF1	double[3]	Scale factor for x,y,z
RScaleTransform3D	1	SHAPE	Shape	Shape
RRotateTransform2D	0	RA	double[1]	Rotation angle in z
RRotateTransform2D	1	SHAPE	Shape	Shape
RRotateTransform3D	0	RA	double[3]	Rotation angle in x,y,z
RRotateTransform3D	1	SHAPE	Shape	Shape
RAbstractTransform1D	0	NAME	String	Name of transformation
RAbstractTransform1D	1	ARGS	String	Arguments
RAbstractTransform1D	2	SHAPE	Shape	Shape
RAbstractTransform2D	0	NAME	String	Name of transformation
RAbstractTransform2D	1	ARGS	String	Arguments
RAbstractTransform2D	2	SHAPE	Shape	Shape
RAbstractTransform3D	0	NAME	String	Name of transformation
RAbstractTransform3D	1	ARGS	String	Arguments
RAbstractTransform3D	2	SHAPE	Shape	Shape
RText2D	0	B1	RRectangle2	Text bounds
# Or, should the text be specified externally, e.g. as ROI label text?
RText2D	1	TEXT	String	Text
RValuenD	0	D1	Index	Dimension
RValuenD	1	V1	Index	Value within dimension
RValuesnD	0	D1	Index	Dimension
RValuesnD	1	NVAL	Count	Number of values
RValuesnD	2	V1	Index[NVAL]	Values within dimension
RRange1nD	0	D1	Index	Dimension
RRange1nD	1	V1	Index	Starting value within dimension
RRange1nD	2	V2	Index	Ending value +1 within dimension
RRange2nD	0	D1	Index	Dimension
RRange2nD	1	O1	Operator	Mathematical operator
RRange2nD	2	V1	Value	Value for operation
RExtrudenD	0	D1	Index	Dimension
RExtrudenD	1	SHAPE	Shape	Shape

RShapeSet3D	0	NSHAPES	Count	Number of shapes
RShapeSet3D	1	SHAPES	Shape[NSHAPES]	List of shapes

RBitwise1D	0	O1	BLogic	Bitwise logic operator
RBitwise1D	1	M1	RBitMask1D	Mask 1
RBitwise1D	2	M2	RBitMask1D	Mask 2
RBitwise2D	0	O1	BLogic	Bitwise logic operator
RBitwise2D	1	M1	RBitMask2D	Mask 1
RBitwise2D	2	M2	RBitMask2D	Mask 2
RBitwise3D	0	O1	BLogic	Bitwise logic operator
RBitwise3D	1	M1	RBitMask3D	Mask 1
RBitwise3D	2	M2	RBitMask3D	Mask 2
RCustom3D	0	TYPE	String	Name of the custom type
RCustom3D	1	MEASUREMENTS	RSet	Set of shapes describing how the ROI was measured
RCustom3D	2	RESULTS	RSet	Set of shapes for describing measurement results
RCustom3D	3	EDIT	RSet	Set of shapes describing how to edit the ROI
RCustom3D	4	VISUAL	RSet	Set of shapes describing how to visualise (render) the ROI for visualisation

RPropertynD	0	KEY	String	Property name
RPropertynD	1	VALUE	Representation	Property value (includes type information)
RPropertiesnD	0	NPROP	Count	Number of properties
RPropertiesnD	1	PROPS	RProperty[NPROP]	List of properties

# Placeholder.
RDimConstraintnD	0	INVALID	Invalid	Placeholder for type

RDimConstraintSetnD	0	NSHAPES	Count	Number of shapes
RDimConstraintSetnD	1	SHAPES	RDimConstraint[NSHAPES]	List of shapes
